# Colorado Snow Depth, March 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Missing: M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Trace: T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
USC00050105,AGUILAR 18WSW,LASANIMAS,CO,8642,37.32,-104.95,22,M,M,M,18,12,12,10,9,8,7,6,5,5,4,3,3,2,2,2,2,1,1,1,T,T,T,T,T,T,T
US1COLA0033,AGUILAR 7.2 WSW,LASANIMAS,CO,7216,37.36,-104.77,9,7.5,4.5,4.5,5,2,1,0.5,T,T,T,0,M,M,M,M,M,M,M,M,M,M,M,M,M,2,T,M,M,M,M
US1COWA0068,AKRON 11.1 NNE,WASHINGTON,CO,4466,40.3,-103.11,1,0.5,T,1,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COWA0060,AKRON 1.1 ESE,WASHINGTON,CO,4628,40.16,-103.19,M,M,M,M,M,0,M,M,0,0,0,0,0,M,M,0,0,0,0,0,M,M,0,0,0,0,0,M,M,M,M
USC00050109,AKRON 4 E,WASHINGTON,CO,4541,40.16,-103.14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COAM0031,ALAMOSA 1.1 N,ALAMOSA,CO,7554,37.48,-105.87,4,2,1,0.5,0.5,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAM0021,ALAMOSA 1.2 NE,ALAMOSA,CO,7548,37.48,-105.85,7,6,5,5,3,3,3,2,1,T,T,M,T,T,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00050128,ALAMOSA 1E,ALAMOSA,CO,7538,37.47,-105.86,3,3,1,1,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USW00023061,ALAMOSA-BERGMAN FIELD,ALAMOSA,CO,7531,37.44,-105.86,3.1,3.1,1.2,1.2,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COBO0022,ALLENS PARK 1.5 ESE,BOULDER,CO,8453,40.19,-105.5,23,23,22.5,24,24,22,22,21.5,21,21,19,18.5,18.5,18.5,18,16,16,15.5,15,15,14,13,12,12,11.5,11,10.5,10,9.5,9,9
USC00050214,ALTENBERN,GARFIELD,CO,5636,39.5,-108.38,0,0,1,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00050263,ANTERO RESERVOIR,PARK,CO,8937,38.99,-105.89,5,5,3,2,2,2,2,2,1,1,1,1,1,1,T,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0
USC00050304,ARAPAHOE,CHEYENNE,CO,4019,38.85,-102.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USC00050306,ARAPAHOE 12S,CHEYENNE,CO,4064,38.68,-102.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COAR0179,ARAPAHOE PARK 1.4 WSW,ARAPAHOE,CO,5890,39.63,-104.71,8,7,5.5,8.5,8,6,4.5,3,1.5,0.5,T,M,M,M,M,M,M,M,M,0,M,M,M,M,T,T,M,M,M,M,M
US1COJF0325,ARVADA 0.8 W,JEFFERSON,CO,5414,39.82,-105.12,M,M,4.5,5.5,M,3,2,M,M,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COJF0398,ARVADA 0.9 SSW,JEFFERSON,CO,5397,39.81,-105.11,7,6.5,5,7,5,4,3,3,3,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COJF0421,ARVADA 2.2 NNW,JEFFERSON,CO,5601,39.85,-105.13,M,8.5,M,M,M,M,M,M,3,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COJF0412,ARVADA 2.6 W,JEFFERSON,CO,5533,39.82,-105.16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M
